catchment,hy_year,start_date,end_date,peak_date,mid_dry_date,trough_date,trough_boundary_date,peak_extent_pct,mid_dry_extent_pct,trough_extent_pct,peak_invalid_pct,mid_dry_invalid_pct,trough_invalid_pct,drawdown_pct,annual_condition,confidence,status,peak_quality,boundary_status,boundary_basis,regime,route,timing_status,peak_timing_status,peak_interval_start_date,peak_interval_end_date,trough_timing_status,trough_interval_start_date,trough_interval_end_date,detectability_floor_pp,amplitude_to_floor_ratio
gap-at-low,2005,2005-01-01,2005-07-01,,,,2005-07-01,,,2.0,,,0.0,,insufficient_baseline,low,partial,,confirmed,detected_per_year,seasonal,per_year_detection,,,,,,,,,
gap-at-low,2006,2005-08-01,2006-09-01,2006-02-01,2006-06-01,,2006-09-01,80.0,8.0,2.0,0.0,0.0,0.0,78.0,insufficient_baseline,high,complete,normal,confirmed,detected_per_year,seasonal,per_year_detection,interval,point,2006-02-01,2006-02-01,interval,2006-07-01,2006-09-01,2.220446049250313e-16,3.512807709348987e+17
gap-at-low,2007,2006-10-01,2007-09-01,2007-02-01,2007-06-01,,2007-09-01,80.0,8.0,2.0,0.0,0.0,0.0,78.0,insufficient_baseline,high,complete,normal,confirmed,detected_per_year,seasonal,per_year_detection,interval,point,2007-02-01,2007-02-01,interval,2007-07-01,2007-09-01,2.220446049250313e-16,3.512807709348987e+17
gap-at-low,2008,2007-10-01,2008-09-01,2008-02-01,2008-06-01,,2008-09-01,80.0,8.0,2.0,0.0,0.0,0.0,78.0,insufficient_baseline,high,complete,normal,confirmed,detected_per_year,seasonal,per_year_detection,interval,point,2008-02-01,2008-02-01,interval,2008-07-01,2008-09-01,2.220446049250313e-16,3.512807709348987e+17
gap-at-low,2009,2008-10-01,2009-09-01,2009-02-01,2009-06-01,,2009-09-01,80.0,8.0,2.0,0.0,0.0,0.0,78.0,insufficient_baseline,high,complete,normal,confirmed,detected_per_year,seasonal,per_year_detection,interval,point,2009-02-01,2009-02-01,interval,2009-07-01,2009-09-01,2.220446049250313e-16,3.512807709348987e+17
gap-at-low,2010,2009-10-01,2010-09-01,2010-02-01,2010-06-01,,2010-09-01,80.0,8.0,2.0,0.0,0.0,0.0,78.0,insufficient_baseline,high,complete,normal,confirmed,detected_per_year,seasonal,per_year_detection,interval,point,2010-02-01,2010-02-01,interval,2010-07-01,2010-09-01,2.220446049250313e-16,3.512807709348987e+17
gap-at-low,2011,2010-10-01,2011-09-01,2011-02-01,2011-06-01,,2011-09-01,80.0,8.0,2.0,0.0,0.0,0.0,78.0,insufficient_baseline,high,complete,normal,confirmed,detected_per_year,seasonal,per_year_detection,interval,point,2011-02-01,2011-02-01,interval,2011-07-01,2011-09-01,2.220446049250313e-16,3.512807709348987e+17
gap-at-low,2012,2011-10-01,2012-07-01,2012-02-01,2012-05-01,2012-07-01,2012-07-01,80.0,15.0,2.0,0.0,0.0,0.0,78.0,insufficient_baseline,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,point,point,2012-02-01,2012-02-01,point,2012-07-01,2012-07-01,2.220446049250313e-16,3.512807709348987e+17
gap-at-low,2013,2012-08-01,2013-07-01,2013-02-01,2013-05-01,2013-07-01,2013-07-01,80.0,15.0,2.0,0.0,0.0,0.0,78.0,insufficient_baseline,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,point,point,2013-02-01,2013-02-01,point,2013-07-01,2013-07-01,2.220446049250313e-16,3.512807709348987e+17
gap-at-low,2014,2013-08-01,2014-09-01,2014-02-01,2014-06-01,,2014-09-01,80.0,8.0,2.0,0.0,0.0,0.0,78.0,insufficient_baseline,high,complete,normal,confirmed,detected_per_year,seasonal,per_year_detection,interval,point,2014-02-01,2014-02-01,interval,2014-07-01,2014-09-01,2.220446049250313e-16,3.512807709348987e+17
gap-at-low,2015,2014-10-01,2015-09-01,2015-02-01,2015-06-01,,2015-09-01,80.0,8.0,2.0,0.0,0.0,0.0,78.0,insufficient_baseline,high,complete,normal,confirmed,detected_per_year,seasonal,per_year_detection,interval,point,2015-02-01,2015-02-01,interval,2015-07-01,2015-09-01,2.220446049250313e-16,3.512807709348987e+17
gap-at-low,2016,2015-10-01,2016-09-01,2016-02-01,2016-06-01,,2016-09-01,80.0,8.0,2.0,0.0,0.0,0.0,78.0,insufficient_baseline,high,complete,normal,confirmed,detected_per_year,seasonal,per_year_detection,interval,point,2016-02-01,2016-02-01,interval,2016-07-01,2016-09-01,2.220446049250313e-16,3.512807709348987e+17
gap-at-low,2017,2016-10-01,2017-09-01,2017-02-01,2017-06-01,,2017-09-01,80.0,8.0,2.0,0.0,0.0,0.0,78.0,insufficient_baseline,high,complete,normal,confirmed,detected_per_year,seasonal,per_year_detection,interval,point,2017-02-01,2017-02-01,interval,2017-07-01,2017-09-01,2.220446049250313e-16,3.512807709348987e+17
gap-at-low,2018,2017-10-01,2018-09-01,2018-02-01,2018-06-01,,2018-09-01,80.0,8.0,2.0,0.0,0.0,0.0,78.0,insufficient_baseline,high,complete,normal,confirmed,detected_per_year,seasonal,per_year_detection,interval,point,2018-02-01,2018-02-01,interval,2018-07-01,2018-09-01,2.220446049250313e-16,3.512807709348987e+17
gap-at-low,2019,2018-10-01,2019-07-01,2019-02-01,2019-05-01,2019-07-01,2019-07-01,80.0,15.0,2.0,0.0,0.0,0.0,78.0,insufficient_baseline,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,point,point,2019-02-01,2019-02-01,point,2019-07-01,2019-07-01,2.220446049250313e-16,3.512807709348987e+17
