Site_ID,Date,Rainfall_mm,Current_SeasonType_Prediction,GroundTruth_SeasonType
aus_site_001,01/01/1980,25.61799999999981,Dry,Dry
aus_site_001,01/02/1980,0.1599999999998999,Wet,Dry
aus_site_001,01/03/1980,0.1169999999999117,Wet,Dry
aus_site_001,01/04/1980,12.62399999999982,Dry,Wet
aus_site_001,01/05/1980,84.733,Wet,Wet
aus_site_001,01/06/1980,78.55199999999982,Wet,Wet
aus_site_001,01/07/1980,29.893999999999814,Wet,Wet
aus_site_001,01/08/1980,8.347,Wet,Wet
aus_site_001,01/09/1980,0.06,Dry,Dry
aus_site_001,01/10/1980,3.289999999999818,Dry,Dry
aus_site_001,01/11/1980,0.4319999999998709,Dry,Dry
aus_site_001,01/12/1980,0,Dry,Dry
aus_site_001,01/01/1981,1.5689999999997282,Dry,Dry
aus_site_001,01/02/1981,0,Wet,Dry
aus_site_001,01/03/1981,2.3579999999998247,Wet,Dry
aus_site_001,01/04/1981,0.1749999999998817,Dry,Dry
aus_site_001,01/05/1981,71.45899999999979,Wet,Wet
aus_site_001,01/06/1981,50.61499999999982,Wet,Wet
aus_site_001,01/07/1981,20.589999999999826,Wet,Wet
aus_site_001,01/08/1981,31.417999999999825,Wet,Wet
aus_site_001,01/09/1981,0.5199999999998545,Dry,Dry
aus_site_001,01/10/1981,0.009,Dry,Dry
aus_site_001,01/11/1981,0.5239999999998326,Dry,Dry
aus_site_001,01/12/1981,0.7529999999997699,Dry,Dry
aus_site_001,01/01/1982,31.868999999999826,Dry,Wet
aus_site_001,01/02/1982,2.009999999999845,Wet,Wet
aus_site_001,01/03/1982,13.890999999999822,Wet,Wet
aus_site_001,01/04/1982,1.4019999999998207,Dry,Wet
aus_site_001,01/05/1982,4.637999999999856,Wet,Wet
aus_site_001,01/06/1982,31.698999999999813,Wet,Wet
aus_site_001,01/07/1982,0.801,Wet,Dry
aus_site_001,01/08/1982,0.3879999999998654,Wet,Dry
aus_site_001,01/09/1982,23.58299999999981,Dry,Dry
aus_site_001,01/10/1982,1.5809999999998172,Dry,Dry
aus_site_001,01/11/1982,3.819999999999809,Dry,Dry
aus_site_001,01/12/1982,0.017,Dry,Dry
aus_site_001,01/01/1983,0.2499999999998726,Dry,Dry
aus_site_001,01/02/1983,0,Wet,Dry
aus_site_001,01/03/1983,18.426999999999808,Wet,Dry
aus_site_001,01/04/1983,0.505,Dry,Dry
aus_site_001,01/05/1983,7.162999999999829,Wet,Wet
aus_site_001,01/06/1983,71.62499999999982,Wet,Wet
aus_site_001,01/07/1983,26.088999999999796,Wet,Wet
aus_site_001,01/08/1983,30.137999999999824,Wet,Wet
aus_site_001,01/09/1983,11.36899999999981,Dry,Dry
aus_site_001,01/10/1983,5.194999999999805,Dry,Dry
aus_site_001,01/11/1983,49.23199999999981,Dry,Dry
aus_site_001,01/12/1983,9.469999999999828,Dry,Dry
aus_site_001,01/01/1984,6.969,Dry,Dry
aus_site_001,01/02/1984,32.62199999999981,Wet,Wet
aus_site_001,01/03/1984,67.18399999999983,Wet,Wet
aus_site_001,01/04/1984,26.065999999999818,Dry,Wet
aus_site_001,01/05/1984,92.555,Wet,Wet
aus_site_001,01/06/1984,20.294999999999828,Wet,Wet
aus_site_001,01/07/1984,49.61299999999979,Wet,Wet
aus_site_001,01/08/1984,24.334999999999823,Wet,Wet
aus_site_001,01/09/1984,17.817999999999838,Dry,Wet
aus_site_001,01/10/1984,43.53099999999981,Dry,Wet
aus_site_001,01/11/1984,0.8649999999998363,Dry,Dry
aus_site_001,01/12/1984,0.2349999999998545,Dry,Dry
aus_site_001,01/01/1985,0.007,Dry,Dry
aus_site_001,01/02/1985,20.93399999999981,Wet,Dry
aus_site_001,01/03/1985,0,Wet,Dry
aus_site_001,01/04/1985,0.1649999999998999,Dry,Dry
aus_site_001,01/05/1985,7.346999999999812,Wet,Dry
aus_site_001,01/06/1985,22.38899999999981,Wet,Wet
aus_site_001,01/07/1985,45.64199999999979,Wet,Wet
aus_site_001,01/08/1985,30.018999999999792,Wet,Wet
aus_site_001,01/09/1985,2.2499999999998046,Dry,Dry
aus_site_001,01/10/1985,0.3229999999998836,Dry,Dry
aus_site_001,01/11/1985,0.2809999999998808,Dry,Dry
aus_site_001,01/12/1985,0,Dry,Dry
aus_site_001,01/01/1986,15.404,Dry,Dry
aus_site_001,01/02/1986,40.01599999999983,Wet,Dry
aus_site_001,01/03/1986,5.544999999999818,Wet,Dry
aus_site_001,01/04/1986,0.3759999999998353,Dry,Dry
aus_site_001,01/05/1986,8.947999999999833,Wet,Wet
aus_site_001,01/06/1986,79.822,Wet,Wet
aus_site_001,01/07/1986,56.88499999999982,Wet,Wet
aus_site_001,01/08/1986,6.164999999999809,Wet,Wet
aus_site_001,01/09/1986,29.890999999999817,Dry,Wet
aus_site_001,01/10/1986,14.234,Dry,Wet
aus_site_001,01/11/1986,0,Dry,Dry
aus_site_001,01/12/1986,0,Dry,Dry
aus_site_001,01/01/1987,1.9179999999997923,Dry,Dry
aus_site_001,01/02/1987,42.14299999999984,Wet,Wet
aus_site_001,01/03/1987,19.365999999999826,Wet,Wet
aus_site_001,01/04/1987,19.76899999999982,Dry,Wet
aus_site_001,01/05/1987,15.519999999999822,Wet,Wet
aus_site_001,01/06/1987,36.848,Wet,Wet
aus_site_001,01/07/1987,26.617999999999803,Wet,Wet
aus_site_001,01/08/1987,19.43499999999981,Wet,Wet
aus_site_001,01/09/1987,0.3329999999998245,Dry,Dry
aus_site_001,01/10/1987,0.3939999999998599,Dry,Dry
aus_site_001,01/11/1987,2.736999999999812,Dry,Dry
aus_site_001,01/12/1987,2.5899999999997907,Dry,Dry
aus_site_001,01/01/1988,1.464,Dry,Dry
aus_site_001,01/02/1988,1.62,Wet,Dry
aus_site_001,01/03/1988,9.843999999999792,Wet,Wet
aus_site_001,01/04/1988,28.90899999999981,Dry,Wet
aus_site_001,01/05/1988,53.86499999999982,Wet,Wet
aus_site_001,01/06/1988,21.43199999999983,Wet,Wet
aus_site_001,01/07/1988,36.47199999999981,Wet,Wet
aus_site_001,01/08/1988,18.476,Wet,Wet
aus_site_001,01/09/1988,0.6879999999997972,Dry,Dry
aus_site_001,01/10/1988,0.3339999999998735,Dry,Dry
aus_site_001,01/11/1988,8.370999999999858,Dry,Dry
aus_site_001,01/12/1988,3.343999999999801,Dry,Dry
aus_site_001,01/01/1989,13.368999999999792,Dry,Dry
aus_site_001,01/02/1989,7.609999999999814,Wet,Dry
aus_site_001,01/03/1989,3.8839999999998462,Wet,Dry
aus_site_001,01/04/1989,7.076,Dry,Wet
aus_site_001,01/05/1989,47.18999999999982,Wet,Wet
aus_site_001,01/06/1989,41.39199999999981,Wet,Wet
aus_site_001,01/07/1989,21.633,Wet,Wet
aus_site_001,01/08/1989,2.105999999999849,Wet,Dry
aus_site_001,01/09/1989,0.5399999999998317,Dry,Dry
aus_site_001,01/10/1989,0.9409999999997808,Dry,Dry
aus_site_001,01/11/1989,0.1479999999999108,Dry,Dry
aus_site_001,01/12/1989,0,Dry,Dry
aus_site_001,01/01/1990,58.30299999999983,Dry,Wet
aus_site_001,01/02/1990,11.809999999999814,Wet,Wet
aus_site_001,01/03/1990,11.867999999999792,Wet,Wet
aus_site_001,01/04/1990,21.086999999999804,Dry,Wet
aus_site_001,01/05/1990,15.086999999999811,Wet,Wet
aus_site_001,01/06/1990,32.06199999999979,Wet,Wet
aus_site_001,01/07/1990,29.13599999999981,Wet,Wet
aus_site_001,01/08/1990,48.20199999999979,Wet,Wet
aus_site_001,01/09/1990,2.272999999999848,Dry,Dry
aus_site_001,01/10/1990,0.571,Dry,Dry
aus_site_001,01/11/1990,0,Dry,Dry
aus_site_001,01/12/1990,0,Dry,Dry
aus_site_001,01/01/1991,0.065,Dry,Dry
aus_site_001,01/02/1991,24.353999999999814,Wet,Wet
aus_site_001,01/03/1991,4.512999999999824,Wet,Wet
aus_site_001,01/04/1991,21.005999999999823,Dry,Wet
aus_site_001,01/05/1991,15.993999999999817,Wet,Wet
aus_site_001,01/06/1991,45.52099999999982,Wet,Wet
aus_site_001,01/07/1991,52.679,Wet,Wet
aus_site_001,01/08/1991,4.863999999999842,Wet,Wet
aus_site_001,01/09/1991,2.7769999999997843,Dry,Dry
aus_site_001,01/10/1991,5.936999999999821,Dry,Dry
aus_site_001,01/11/1991,0.512,Dry,Dry
aus_site_001,01/12/1991,8.906999999999826,Dry,Dry
aus_site_001,01/01/1992,12.452999999999792,Dry,Dry
aus_site_001,01/02/1992,0.049,Wet,Dry
aus_site_001,01/03/1992,28.47699999999981,Wet,Wet
aus_site_001,01/04/1992,50.050999999999824,Dry,Wet
aus_site_001,01/05/1992,12.05499999999982,Wet,Wet
aus_site_001,01/06/1992,70.27499999999984,Wet,Wet
aus_site_001,01/07/1992,7.193999999999819,Wet,Wet
aus_site_001,01/08/1992,104.73499999999986,Wet,Wet
aus_site_001,01/09/1992,12.29999999999984,Dry,Wet
aus_site_001,01/10/1992,0.5409999999998399,Dry,Dry
aus_site_001,01/11/1992,1.331999999999839,Dry,Dry
aus_site_001,01/12/1992,0.4379999999997971,Dry,Dry
aus_site_001,01/01/1993,3.504999999999864,Dry,Dry
aus_site_001,01/02/1993,14.781999999999806,Wet,Wet
aus_site_001,01/03/1993,0,Wet,Wet
aus_site_001,01/04/1993,16.95599999999982,Dry,Wet
aus_site_001,01/05/1993,39.46099999999982,Wet,Wet
aus_site_001,01/06/1993,31.463999999999785,Wet,Wet
aus_site_001,01/07/1993,24.408999999999835,Wet,Wet
aus_site_001,01/08/1993,30.515999999999806,Wet,Wet
aus_site_001,01/09/1993,12.175999999999812,Dry,Wet
aus_site_001,01/10/1993,0.7099999999998227,Dry,Dry
aus_site_001,01/11/1993,19.920999999999815,Dry,Dry
aus_site_001,01/12/1993,6.460999999999817,Dry,Dry
aus_site_001,01/01/1994,0.2219999999998617,Dry,Dry
aus_site_001,01/02/1994,35.35099999999984,Wet,Dry
aus_site_001,01/03/1994,0.072,Wet,Dry
aus_site_001,01/04/1994,0,Dry,Dry
aus_site_001,01/05/1994,21.918999999999823,Wet,Wet
aus_site_001,01/06/1994,27.609999999999808,Wet,Wet
aus_site_001,01/07/1994,7.125999999999822,Wet,Wet
aus_site_001,01/08/1994,44.03099999999981,Wet,Wet
aus_site_001,01/09/1994,0.8529999999998062,Dry,Dry
aus_site_001,01/10/1994,0,Dry,Dry
aus_site_001,01/11/1994,0,Dry,Dry
aus_site_001,01/12/1994,5.995999999999794,Dry,Wet
aus_site_001,01/01/1995,16.303999999999807,Dry,Wet
aus_site_001,01/02/1995,63.026999999999845,Wet,Wet
aus_site_001,01/03/1995,1.7439999999997644,Wet,Wet
aus_site_001,01/04/1995,36.09299999999981,Dry,Wet
aus_site_001,01/05/1995,6.439999999999832,Wet,Wet
aus_site_001,01/06/1995,39.904,Wet,Wet
aus_site_001,01/07/1995,39.82499999999981,Wet,Wet
aus_site_001,01/08/1995,1.7979999999998335,Wet,Wet
aus_site_001,01/09/1995,10.349999999999833,Dry,Dry
aus_site_001,01/10/1995,0.3359999999998899,Dry,Dry
aus_site_001,01/11/1995,13.281999999999844,Dry,Dry
aus_site_001,01/12/1995,29.00299999999981,Dry,Dry
aus_site_001,01/01/1996,0.002,Dry,Dry
aus_site_001,01/02/1996,23.53299999999983,Wet,Wet
aus_site_001,01/03/1996,2.4009999999998173,Wet,Wet
aus_site_001,01/04/1996,23.70099999999981,Dry,Wet
aus_site_001,01/05/1996,8.758999999999828,Wet,Wet
aus_site_001,01/06/1996,73.01999999999981,Wet,Wet
aus_site_001,01/07/1996,104.9809999999998,Wet,Wet
aus_site_001,01/08/1996,37.48899999999983,Wet,Wet
aus_site_001,01/09/1996,11.355999999999815,Dry,Wet
aus_site_001,01/10/1996,5.156999999999835,Dry,Wet
aus_site_001,01/11/1996,22.429,Dry,Wet
aus_site_001,01/12/1996,1.281999999999775,Dry,Dry
aus_site_001,01/01/1997,2.0409999999997672,Dry,Dry
aus_site_001,01/02/1997,54.99499999999984,Wet,Dry
aus_site_001,01/03/1997,0.7009999999998218,Wet,Dry
aus_site_001,01/04/1997,67.56099999999981,Dry,Wet
aus_site_001,01/05/1997,30.234999999999832,Wet,Wet
aus_site_001,01/06/1997,28.39999999999981,Wet,Wet
aus_site_001,01/07/1997,28.21599999999983,Wet,Wet
aus_site_001,01/08/1997,50.09299999999979,Wet,Wet
aus_site_001,01/09/1997,17.781999999999798,Dry,Wet
aus_site_001,01/10/1997,2.4869999999998025,Dry,Dry
aus_site_001,01/11/1997,0.2789999999998644,Dry,Dry
aus_site_001,01/12/1997,1.700999999999749,Dry,Dry
aus_site_001,01/01/1998,2.2819999999997616,Dry,Dry
aus_site_001,01/02/1998,0.083,Wet,Dry
aus_site_001,01/03/1998,1.6199999999997454,Wet,Dry
aus_site_001,01/04/1998,3.9349999999998047,Dry,Dry
aus_site_001,01/05/1998,66.44799999999982,Wet,Wet
aus_site_001,01/06/1998,45.34299999999983,Wet,Wet
aus_site_001,01/07/1998,107.91699999999985,Wet,Wet
aus_site_001,01/08/1998,26.18899999999981,Wet,Wet
